City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,khorramshahr,30.4397,48.1664,10.98,100,9,1.03,IR,1674321629
151,norman wells,65.282,-126.8329,-20.98,77,100,4.63,CA,1674321630
152,clyde river,70.4692,-68.5914,-32.87,68,100,5.14,CA,1674321630
153,avarua,-21.2078,-159.775,23.03,100,100,1.03,CK,1674321630
154,pandamatenga,-18.5278,25.627,20.38,77,95,2.24,BW,1674321631
155,chapais,49.7834,-74.8492,-15.12,89,100,2.7,CA,1674321631
156,rawson,-43.3002,-65.1023,21.36,67,52,6.1,AR,1674321631
157,zhanakorgan,43.9098,67.2495,-2.4,57,0,7.5,KZ,1674321632
158,lebu,-37.6167,-73.65,18.0,75,4,6.74,CL,1674321632
159,yeppoon,-23.1333,150.7333,21.88,76,29,5.58,AU,1674321633
160,sarakhs,36.5449,61.1577,-1.33,56,4,1.46,IR,1674321633
161,coihaique,-45.5752,-72.0662,19.34,59,100,2.06,CL,1674321633
162,kloulklubed,7.0419,134.2556,23.28,79,100,8.78,PW,1674321634
163,butaritari,3.0707,172.7902,27.28,74,100,6.29,KI,1674321634
164,fredericton,45.9454,-66.6656,-0.91,73,44,0.45,CA,1674321341
165,malampaka,-3.1333,33.5333,20.98,63,100,1.37,TZ,1674321635
166,carnarvon,-24.8667,113.6333,24.6,76,33,7.33,AU,1674321635
167,salalah,17.0151,54.0924,23.05,60,0,1.54,OM,1674321635
168,los llanos de aridane,28.6585,-17.9182,17.86,65,40,6.17,ES,1674321636
169,airai,-8.9266,125.4092,15.89,95,44,0.43,TL,1674321636
170,isangel,-19.55,169.2667,25.79,85,99,3.4,VU,1674321636
171,provideniya,64.3833,-173.3,-29.9,87,10,1.42,RU,1674321637
172,kuytun,54.3419,101.5036,-38.55,98,99,2.54,RU,1674321637
173,tocopilla,-22.092,-70.1979,22.64,75,41,2.45,CL,1674321637
174,bathsheba,13.2167,-59.5167,28.34,61,40,10.8,BB,1674321638
175,ribeira grande,38.5167,-28.7,18.22,82,40,5.14,PT,1674321638
176,saldanha,-33.0117,17.9442,23.03,81,21,4.8,ZA,1674321639
177,vestmannaeyjar,63.4427,-20.2734,2.55,93,40,3.6,IS,1674321639
178,kyshtovka,56.555,76.6271,-19.7,98,100,5.35,RU,1674321639
179,san pedro,14.35,121.0167,25.57,81,40,1.54,PH,1674321547
180,comodoro rivadavia,-45.8667,-67.5,23.92,50,0,3.09,AR,1674321640
181,hobart,-42.8794,147.3294,14.92,95,100,4.12,AU,1674321640
182,souillac,-20.5167,57.5167,26.21,83,40,1.54,MU,1674321640
183,pedasi,7.5333,-80.0333,27.58,69,2,6.81,PA,1674321641
184,portland,45.5234,-122.6762,3.12,95,75,2.57,US,1674321541
185,lagoa,39.05,-27.9833,15.3,82,97,8.35,PT,1674321641
186,safford,32.834,-109.7076,7.84,60,0,4.12,US,1674321642
187,guasdualito,7.2424,-70.7324,29.98,58,20,2.57,VE,1674321642
188,grindavik,63.8424,-22.4338,2.17,93,100,4.12,IS,1674321642
189,mezen,65.8522,44.24,-3.39,94,99,3.51,RU,1674321643
190,yellowknife,62.456,-114.3525,-12.94,93,100,4.84,CA,1674321365
191,paamiut,61.994,-49.6678,-17.5,69,46,4.72,GL,1674321643
192,nome,64.5011,-165.4064,-25.96,76,40,5.66,US,1674321359
193,artyom,40.4723,50.333,6.08,56,21,6.46,AZ,1674321644
194,loikaw,19.6742,97.2094,13.97,37,1,1.98,MM,1674321644
195,bredasdorp,-34.5322,20.0403,22.8,56,0,6.08,ZA,1674321645
196,saint george,37.1041,-113.5841,4.03,59,0,3.6,US,1674321387
197,kumta,14.4167,74.4,22.84,74,24,2.55,IN,1674321645
198,bilma,18.6853,12.9164,21.91,12,0,2.72,NE,1674321645
199,ginda,30.6945,78.4932,3.01,38,0,3.97,IN,1674321646
200,linda,39.1277,-121.5508,9.93,79,0,0.89,US,1674321642
201,geraldton,-28.7667,114.6,21.23,83,75,2.57,AU,1674321646
202,staraya russa,57.9944,31.3608,-3.99,96,100,3.37,RU,1674321647
203,port-cartier,50.0334,-66.8654,-4.88,67,8,1.46,CA,1674321647
204,kalmunai,7.4167,81.8167,23.89,89,85,4.59,LK,1674321647
205,vung tau,10.346,107.0843,25.01,83,100,6.21,VN,1674321396
206,greece,43.2098,-77.6931,0.75,88,100,1.79,US,1674321648
207,brae,60.3964,-1.353,6.7,89,100,11.6,GB,1674321648
208,daphne,30.6035,-87.9036,12.74,71,100,2.57,US,1674321429
209,pokhara,28.2333,83.9833,12.8,31,17,2.93,NP,1674321649
210,luangwa,-15.6167,30.4167,21.83,97,100,0.48,ZM,1674321649
211,broome,42.2506,-75.833,0.47,83,100,5.14,US,1674321649
212,tarabha,20.7333,83.65,19.7,48,31,1.45,IN,1674321650
213,yerbogachen,61.2767,108.0108,-47.91,100,73,0.55,RU,1674321650
214,gat,31.61,34.7642,16.89,100,82,1.69,IL,1674321650
215,buala,-8.145,159.5921,26.72,80,100,2.69,SB,1674321651
216,ixtapa,20.7,-105.2,25.13,64,0,0.89,MX,1674321651
217,faanui,-16.4833,-151.75,26.91,70,80,4.27,PF,1674321652
218,cherskiy,68.75,161.3,-39.77,99,100,3.2,RU,1674321652
